listing_url,featured
https://garasi.id/mobil-bekas/2015-toyota-kijang-innova/00pl987,False
https://garasi.id/mobil-bekas/2015-toyota-kijang-innova/00pj131,False
https://garasi.id/mobil-bekas/2015-toyota-kijang-innova/00oz821,False
https://garasi.id/mobil-bekas/2015-toyota-kijang-innova/00oz798,False
https://garasi.id/mobil-bekas/2015-toyota-kijang-innova/00pe670,False
https://garasi.id/mobil-bekas/2015-toyota-kijang-innova/00qi953,False
https://garasi.id/mobil-bekas/2015-toyota-kijang-innova/00qg583,False
https://garasi.id/mobil-bekas/2015-toyota-kijang-innova/00qf693,False
https://garasi.id/mobil-bekas/2015-toyota-kijang-innova/00qg340,True
https://garasi.id/mobil-bekas/2015-toyota-kijang-innova/00qg812,True
https://garasi.id/mobil-bekas/2015-toyota-kijang-innova/00pw253,False
https://garasi.id/mobil-bekas/2015-toyota-kijang-innova/00po125,False
https://garasi.id/mobil-bekas/2015-toyota-kijang-innova/00nn711,False
https://garasi.id/mobil-bekas/2015-toyota-kijang-innova/00qh737,False
https://garasi.id/mobil-bekas/2015-toyota-kijang-innova/00qh735,False
https://garasi.id/mobil-bekas/2015-toyota-kijang-innova/00qh725,False
https://garasi.id/mobil-bekas/2015-toyota-kijang-innova/00qh714,False
https://garasi.id/mobil-bekas/2015-toyota-kijang-innova/00qh704,False
https://garasi.id/mobil-bekas/2015-toyota-kijang-innova/00qg687,True
https://garasi.id/mobil-bekas/2016-toyota-kijang-innova/00qh774,True
https://garasi.id/mobil-bekas/2015-toyota-kijang-innova/00ps510,False
https://garasi.id/mobil-bekas/2015-toyota-kijang-innova/00pj958,False
https://garasi.id/mobil-bekas/2015-toyota-kijang-innova/00p0776,False
https://garasi.id/mobil-bekas/2015-toyota-kijang-innova/00p0756,False
https://garasi.id/mobil-bekas/2015-toyota-kijang-innova/00p0733,False
https://garasi.id/mobil-bekas/2015-toyota-kijang-innova/00ps545,False
https://garasi.id/mobil-bekas/2015-toyota-kijang-innova/00pk440,False
https://garasi.id/mobil-bekas/2015-toyota-kijang-innova/00qh454,False
https://garasi.id/mobil-bekas/2016-toyota-kijang-innova/00qd538,True
https://garasi.id/mobil-bekas/2015-toyota-kijang-innova/00pa927,True
https://garasi.id/mobil-bekas/2015-toyota-kijang-innova/00qh330,False
https://garasi.id/mobil-bekas/2015-toyota-kijang-innova/00pj066,False
https://garasi.id/mobil-bekas/2015-toyota-kijang-innova/00qh610,False
https://garasi.id/mobil-bekas/2015-toyota-kijang-innova/00qh457,False
